id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
249253386,9014854169145,"Bộ nồi 5 đáy Inox 304 Elmich Celestin EL 3979 được làm từ chất liệu inox 304, an toàn cho sức khỏe, không giải phóng chất độc hạiCông nghệ đáy nồi 5 lớp tối ưu giúp truyền nhiệt nhanh, giữ nh...",1112000,1245000,,133000.0,11.0,3.0,,available,,1000,1000,"Bộ nồi 5 đáy Inox 304 Elmich Celestin EL 3979 Size 18, 20cm",31627.0,Elmich
57642329,3216639817507,"Nồi Inox 3 Lớp Cao Cấp Đáy Liền Elmich Tri-Max XS EL áp dụng công nghệ thân đáy liền 3 lớp siêu bền, Tri – Max XS bắt nhiệt nhanh, tỏa nhiệt đều từ cả thành và đáy, giúp thực phẩm dưới đáy không bị c...",963000,1079000,,116000.0,11.0,27.0,,available,,1000,1000,Nồi Inox 3 Lớp Cao Cấp Đáy Liền Elmich Tri-Max XS EL,31627.0,Elmich
189558569,6800906829047,"Bộ 3 nồi có kích thước: 16,20,24cmLàm bằng hợp kim nhôm nguyên chất, bên trong phủ sơn chống dính whitford xylan màu đá đen vân trắng không giải phóng chất PFOA gây ung thư, chịu nhiệt lên đến 250 độ...",1131000,1790000,,659000.0,37.0,10.0,,available,,1000,1000,"Bộ nồi nhôm chống dính Elmich EL-4101OL size 16,20,24cm",31627.0,Elmich
195109412,1520237897843,"Chất liệu inox 304 cao cấpBộ nồi sử dụng chất liệu lớp trong cùng là inox 304 cao cấp an toàn cho thực phẩm. Inox 304 được khẳng định là hợp kim inox tuyệt vời, có khả năng chống oxi hóa cao. Hợp kim...",1964000,3550000,,1586000.0,45.0,20.0,,available,,1000,1000,"Bộ nồi Inox dập nguyên khối Elmich Trimax Classic EL-2110OL Size 18, 20, 24, chảo 26cm",31627.0,Elmich
57642340,4147757596250,"Quánh Inox 2 Lớp Chống Dính Đáy Liền Elmich Tri-Max với công nghệ thân đáy liền 2lớp siêu bền, Tri – Max bắt nhiệt nhanh, tỏa nhiệt đều từ cả thành và đáy, giúp thực phẩm dưới đáy không bị cháy sát mà...",549000,615000,,66000.0,11.0,22.0,,available,,1000,1000,Quánh Inox 2 Lớp Chống Dính Đáy Liền Elmich Tri-Max,31627.0,Elmich
92385690,9397059163587,"- Kiểu dáng chắc chắn, tiện lợi, dễ dàng sử dụng.- Giúp bạn bảo vệ mình khỏi những cơn mưa bất chợt khi đang đi đường.- Kích thước to rộng, có 2 đầu tiện sử dụng cho 2 người.                       ...",140000,140000,,,,61.0,,available,,1000,1000,"Áo Mưa Cánh Dơi 2 Đầu Vải Dù Loại Siêu Dày, Hàng Việt Nam Chất Lượng Cao, Khổ To Rộng Phù Hợp Cho 2 Người, An Toàn Cho Người Sử Dụng, Có Túi Đựng Dễ Bảo Quản.",837855.0,XUDI
57867024,5400823422204,Đặc điểm nổi bậtBộ Lau Nhà Xoay 360 Độ Sunhouse Ks-Cl350PO được thiết kế tiện dụng với thùng vắt làm bằng nhựa nguyên sinh PP siêu bền với màu cam bắt mắt. Kích thước phù hợp giúp bạn thoải mái giặ...,356000,513000,,157000.0,31.0,1192.0,,available,,1000,1000,Bộ Lau Nhà Xoay 360 Độ Sunhouse Ks-Cl350PO,41048.0,Sunhouse
120759154,6781039495608,  ...,25000,25000,,,,168.0,,available,,1000,1000,"Bó 100 Dây Thít, Dây Rút, Lạt Nhựa Đủ Mọi Kích Cỡ Tiện Lợi",111461.0,OEM
73147684,1640597713793,"Thanh xốp gắn chân cửa chống kẹt chân cho bé, bịt khe hở, chắn gió, chặn côn trùngMô tả sản phẩm:Hai mặt, bảo vệ kép, dụng cụ cách nhiệt cho cửa và cửa sổ.Dụng cụ sẽ được cố định ở hai bên đối diện...",40000,40000,,,,64.0,,available,,1000,1000,"Thanh xốp gắn chân cửa chống kẹt chân cho bé, bịt khe hở, chắn gió, chặn côn trùng",111461.0,OEM
165013585,8664452519041,"- Lõi dây đồng chịu tải 2500W, có thể dùng cho lò nướng, lẩu điệ- Nhựa chống cháy, chịu nhiệt 750 độ C (dưới 750 độ C, ổ điện không bắt lửa, chỉ bị mềm dần)- Mỗi ổ cắm đều có công tắc riêng, lỗ cắm có...",199000,199000,,,,123.0,,available,,1000,1000,"Ổ Cắm Điện Dài VINAVU Kèm Cổng USB Công Tắc Riêng Chịu Tải 2500W, Chống Giật, Chống Cháy",111461.0,OEM
